TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,RewardPointsEarned,ChannelUsed
1,5/4/2025,1034,2059,402,0,2048.2,120,
2,5/4/2025,1066,2048,403,1,321.87,200,
3,5/4/2025,1116,2041,403,3,3216.84,80,
4,5/4/2025,1071,2096,404,2,1613.23,60,
5,5/4/2025,1020,2060,401,0,408.38,40,
6,5/4/2025,1089,2028,401,0,1275.88,20,
7,5/4/2025,1193,2003,402,1,346.66,10,
8,5/4/2025,1005,2079,402,1,855.49,150,
9,5/4/2025,1032,2060,401,1,735.08,180,
10,5/4/2025,1119,2089,403,2,661.63,400,
11,5/4/2025,1042,2077,401,,505.65,0,
12,5/4/2025,1079,2013,401,2,0,120,
13,5/4/2025,1147,2086,404,3,4470.5,500,
14,5/4/2025,1183,2025,401,1,503.32,150,
15,5/4/2025,1026,2089,403,0,413.52,180,
16,5/4/2025,1144,2005,403,3,1715.12,800,
17,5/4/2025,1169,2047,401,2,535.97,700,
18,5/4/2025,1003,2053,404,0,3660.9,600,
19,5/4/2025,1110,2046,404,1,30.09,120,
20,5/4/2025,1111,2022,403,3,671.18,200,
21,5/4/2025,1119,2055,403,2,?,80,
22,5/4/2025,1062,2011,403,3,1229.22,60,
23,5/4/2025,1062,2096,404,3,672.18,40,
24,5/4/2025,1086,2003,404,2,924.43,20,
25,5/4/2025,1046,2062,402,2,1981.95,10,
26,5/4/2025,1066,2043,403,2,698.76,150,
27,5/4/2025,1142,2001,402,0,1237.05,180,
28,5/4/2025,1061,2092,404,3,482.21,400,
29,5/4/2025,1142,2097,402,3,4210.5,0,
30,5/4/2025,1165,2091,404,3,4528.95,120,
31,2023-13-01,1004,2011,403,1,737.53,500,
32,5/4/2025,1103,2088,402,2,0,150,
33,5/4/2025,1169,2074,403,3,0,180,
34,5/4/2025,1141,2067,403,3,872.85,800,
35,5/4/2025,1190,2070,403,2,54.69,700,
36,5/4/2025,1179,2058,403,2,1066.8,600,
37,5/4/2025,1064,2029,401,1,12.16,120,
38,5/4/2025,1080,2015,402,1,3037.36,200,
39,5/4/2025,1055,2094,404,2,1578.72,80,
40,5/4/2025,1185,2075,403,0,0,60,
41,5/4/2025,9999,2037,402,2,288.11,40,
42,5/4/2025,1045,2038,401,1,1667.72,20,
43,5/4/2025,1070,2005,401,2,686.05,10,
44,5/4/2025,1178,2016,404,0,0,150,
45,5/4/2025,1003,2073,403,3,1498.29,180,
46,5/4/2025,1122,2056,403,1,944.5,400,
47,5/4/2025,1013,2032,404,0,2836.8,0,
48,5/4/2025,1016,2051,404,0,117.32,120,
49,5/4/2025,1147,2080,401,1,0,500,
50,5/4/2025,1038,2072,403,0,840.6,150,
51,5/4/2025,1063,2015,404,1,1214.95,180,
52,5/4/2025,1198,2066,404,3,516.06,800,
53,5/4/2025,1113,2038,404,2,2223.62,700,
54,5/4/2025,1145,2079,401,0,1901.08,600,
55,5/4/2025,1195,2026,402,2,507.74,120,
56,5/4/2025,1169,2010,402,1,140.11,200,
57,5/4/2025,1044,2070,401,1,0,80,
58,5/4/2025,1000,2052,404,3,2193.78,60,
59,5/4/2025,1074,2004,402,2,741.8,40,
60,5/4/2025,1180,2036,404,0,217.98,20,
61,5/4/2025,1175,2029,403,1,36.48,10,
62,5/4/2025,1108,2014,402,1,221.67,150,
63,5/4/2025,1068,2018,401,0,2169.04,180,
64,5/4/2025,1042,2039,403,3,2929.32,400,
65,5/4/2025,1031,2059,403,3,0,0,
66,5/4/2025,1069,2064,404,3,1470.2,120,
67,5/4/2025,1020,2076,401,3,4836.42,500,
68,5/4/2025,1188,2041,403,0,1608.42,150,
69,5/4/2025,1023,2029,401,2,0,180,
70,5/4/2025,1147,2005,402,3,0,800,
71,5/4/2025,1132,2083,404,2,614.53,700,
72,5/4/2025,1046,2074,404,3,659.5,600,
73,5/4/2025,1023,2060,403,3,1225.14,120,
74,5/4/2025,1085,2041,401,1,1447.58,200,
75,5/4/2025,1084,2052,404,2,2925.04,80,
76,5/4/2025,1169,2051,401,3,117.32,60,
77,5/4/2025,1022,2040,403,2,55.26,40,
78,5/4/2025,1029,2098,404,0,3631.44,20,
79,5/4/2025,1168,2069,404,3,232.39,10,
80,5/4/2025,1013,2024,403,3,372.81,150,
81,5/4/2025,1160,2056,401,1,472.25,180,
82,5/4/2025,1068,2070,402,2,109.38,400,
83,5/4/2025,1112,2089,404,0,2067.6,0,
84,5/4/2025,1007,2080,402,1,1498.07,120,
85,5/4/2025,1079,2070,401,3,34.18,500,
86,5/4/2025,1023,2028,401,3,2551.76,150,
87,5/4/2025,1030,2082,402,3,799.8,180,
88,5/4/2025,1183,2037,403,3,2160.84,800,
89,5/4/2025,1123,2060,402,3,2450.28,700,
90,5/4/2025,1141,2018,404,1,2440.17,600,
91,5/4/2025,1153,2065,402,0,470.34,120,
92,5/4/2025,1070,2098,404,2,0,200,
93,5/4/2025,1129,2034,401,2,108.94,80,
94,5/4/2025,1185,2038,404,1,1667.72,60,
95,5/4/2025,1114,2068,404,2,656.19,40,
96,5/4/2025,1085,2070,404,3,0,20,
97,5/4/2025,1082,2024,402,3,372.81,10,
98,5/4/2025,1059,2099,404,0,1292.64,150,
99,5/4/2025,1081,2095,404,3,490.79,180,
100,5/4/2025,1098,2084,402,3,0,400,
101,5/4/2025,1009,2016,403,0,969.06,0,
102,5/4/2025,1112,2012,404,0,1869.57,120,
103,5/4/2025,1184,2018,404,1,488.03,500,
104,5/4/2025,1019,2060,403,2,0,150,
105,5/4/2025,1159,2088,404,0,0,180,
106,5/4/2025,1084,2086,404,2,2861.12,800,
107,5/4/2025,1160,2091,404,0,905.79,700,
108,5/4/2025,1158,2008,402,2,159.82,600,
109,5/4/2025,1058,2095,401,3,2453.95,80,
110,5/4/2025,1025,2097,401,3,842.1,60,
111,5/4/2025,1042,2088,403,0,709.35,40,
112,5/4/2025,1011,2041,401,2,0,20,
113,5/4/2025,1091,2047,404,1,0,10,
114,5/4/2025,1062,2067,404,1,0,150,
115,5/4/2025,1043,2022,401,3,2684.72,180,
116,5/4/2025,1158,2087,402,3,477.96,400,
117,5/4/2025,1149,2018,402,3,1626.78,0,
118,5/4/2025,1163,2032,404,2,756.48,120,
119,5/4/2025,1170,2001,404,2,659.76,500,
120,5/4/2025,1173,2069,402,0,464.78,150,
121,5/4/2025,1113,2044,403,3,0,180,
122,5/4/2025,1176,2032,404,2,756.48,800,
123,5/4/2025,1050,2049,404,0,2819.52,80,
124,5/4/2025,1060,2048,403,2,1144.42,60,
125,5/4/2025,1179,2037,401,3,1440.56,40,
126,5/4/2025,1070,2001,401,3,0,20,
127,5/4/2025,1073,2099,402,2,0,10,
128,5/4/2025,1056,2081,402,2,0,150,
129,5/4/2025,1173,2096,402,0,672.18,180,
130,5/4/2025,1160,2082,401,2,426.56,400,
131,5/4/2025,1112,2004,403,1,1669.05,0,
132,5/4/2025,1023,2037,403,3,2160.84,120,
133,5/4/2025,1044,2025,402,2,223.7,500,
134,5/4/2025,1135,2064,403,1,793.91,150,
135,5/4/2025,1065,2061,403,2,639.74,180,
136,5/4/2025,1029,2059,401,1,921.69,800,
137,5/4/2025,1193,2028,404,2,1531.06,40,
138,5/4/2025,1023,2050,401,2,298.85,20,
139,5/4/2025,1137,2015,404,2,539.98,10,
140,5/4/2025,1172,2095,403,3,2453.95,150,
141,5/4/2025,1163,2047,401,1,301.48,180,
142,5/4/2025,1120,2003,403,1,1039.99,400,
143,5/4/2025,1165,2008,404,2,53.27,0,
144,5/4/2025,1166,2052,401,1,658.13,120,
145,5/4/2025,1011,2004,403,3,3709,500,
146,5/4/2025,1029,2012,402,1,0,150,
147,5/4/2025,1099,2058,403,3,666.75,180,
148,5/4/2025,1150,2095,402,3,490.79,800,
149,5/4/2025,1167,2012,404,3,0,80,
150,5/4/2025,1071,2004,403,1,834.52,60,
151,5/4/2025,1113,2056,402,2,839.55,40,
152,5/4/2025,1025,2087,403,2,0,40,
153,5/4/2025,1015,2050,403,1,504.31,20,
154,5/4/2025,1031,2058,401,1,2400.3,10,
155,5/4/2025,1164,2081,401,0,2984.88,150,
156,5/4/2025,1085,2031,402,1,508.77,180,
157,5/4/2025,1017,2097,402,1,757.89,400,
158,5/4/2025,1059,2042,402,0,0,0,
159,5/4/2025,1070,2018,402,2,0,120,
160,5/4/2025,1044,2014,401,1,886.68,500,
161,5/4/2025,1003,2045,402,2,499.42,150,
162,5/4/2025,1004,2022,403,0,671.18,180,
163,5/4/2025,1032,2094,404,0,493.35,800,
164,5/4/2025,1190,2008,404,3,266.36,80,
165,5/4/2025,1199,2046,401,3,167.15,60,
166,5/4/2025,1128,2028,401,2,2041.41,40,
167,5/4/2025,1117,2082,401,0,799.8,150,
168,5/4/2025,1122,2051,404,0,234.64,180,
169,5/4/2025,1125,2091,404,0,1811.58,400,
170,5/4/2025,1020,2041,402,0,0,0,
171,5/4/2025,1032,2035,403,3,4499.95,120,
172,5/4/2025,1152,2067,403,3,872.85,500,
173,5/4/2025,1129,2077,404,0,2809.15,150,
174,5/4/2025,1179,2014,402,3,738.9,180,
175,5/4/2025,1115,2029,404,2,0,800,
176,5/4/2025,1116,2051,404,0,351.96,80,
177,5/4/2025,1080,2054,403,2,3602.04,60,
178,5/4/2025,1095,2019,404,0,933.93,40,
179,5/4/2025,1023,2010,401,3,0,40,
180,5/4/2025,1024,2095,403,1,3533.69,20,
181,5/4/2025,1142,2007,403,0,583.39,10,
182,5/4/2025,1105,2045,404,0,624.28,150,
183,5/4/2025,1073,2076,403,2,1934.57,180,
184,5/4/2025,1026,2073,402,1,1797.95,400,
185,5/4/2025,1168,2061,402,0,599.76,0,
186,5/4/2025,1089,2071,403,0,0,150,
187,5/4/2025,1195,2035,402,3,0,180,
188,5/4/2025,1143,2098,401,2,2178.86,400,
189,5/4/2025,1007,2023,403,2,751.63,0,
190,5/4/2025,1086,2044,401,1,373.64,120,
191,5/4/2025,1036,2072,404,0,1260.9,500,
192,5/4/2025,1036,2094,401,0,2466.75,150,
193,5/4/2025,1191,2067,402,3,872.85,180,
194,5/4/2025,1107,2058,403,1,1800.22,800,
195,5/4/2025,1094,2039,403,0,1952.88,80,
196,5/4/2025,1013,2019,402,0,0,60,
197,5/4/2025,1172,2010,403,3,0,40,
198,5/4/2025,1169,2054,404,3,900.51,40,
199,5/4/2025,1106,2034,402,0,136.17,20,
200,5/4/2025,1088,2055,401,2,129.46,10,
201,5/4/2025,1173,2086,404,2,715.28,150,
202,5/4/2025,1011,2028,404,0,0,180,
203,5/4/2025,1001,2026,403,1,190.4,400,
204,5/4/2025,1196,2017,403,2,370.96,0,
205,5/4/2025,1083,2015,401,3,0,80,
206,5/4/2025,1191,2055,402,1,48.55,60,
207,5/4/2025,1097,2068,402,2,1312.38,40,
208,5/4/2025,1018,2050,401,3,0,40,
209,5/4/2025,1004,2058,401,2,1066.8,20,
210,5/4/2025,1147,2054,404,3,2701.53,10,
211,5/4/2025,1074,2014,404,0,738.9,150,
212,5/4/2025,1083,2021,404,2,668.33,180,
213,5/4/2025,1022,2055,401,1,97.09,400,
214,5/4/2025,1111,2075,404,0,1561.28,0,
215,5/4/2025,1101,2039,403,1,2636.39,40,
216,5/4/2025,1085,2099,402,0,646.32,20,
217,5/4/2025,1130,2081,401,1,1343.2,10,
218,5/4/2025,1198,2044,403,1,186.82,150,
219,5/4/2025,1060,2013,402,2,0,180,
220,5/4/2025,1050,2022,402,0,671.18,400,
221,5/4/2025,1045,2098,404,3,907.86,0,
222,5/4/2025,1193,2072,404,2,1681.2,120,
223,5/4/2025,1160,2040,402,3,138.16,500,
224,5/4/2025,1017,2060,404,2,0,150,
225,5/4/2025,1070,2075,401,2,624.51,180,
226,5/4/2025,1129,2009,403,3,198.93,800,
227,5/4/2025,1115,2004,401,2,2225.4,80,
228,5/4/2025,1073,2009,401,3,66.31,120,
