productid,productname,category,unitprice,yearintroduced,supplierregion
2000.0,Electronics-Be,electronics,969.31,2022,Midwest
2001.0,Electronics-Be,clothing,412.31,2015,Midwest
2002.0,Office-Family,clothing,866.0,2000,Midwest
2003.0,Electronics-Training,clothing,385.18,2009,Midwest
2004.0,Office-Where,home,927.2,2010,Midwest
2005.0,Office-Huge,home,428.78,2001,Midwest
2006.0,Office-Class,clothing,198.0,2014,Midwest
2007.0,Clothing-Over,electronics,583.39,2022,Midwest
2011.0,Electronics-Religious,clothing,409.74,2005,Midwest
2012.0,Clothing-Artist,electronics,623.1,2004,Midwest
2013.0,Office-Cultural,home,935.34,2009,Midwest
2014.0,Clothing-Eat,home,246.31,2003,Midwest
2015.0,Office-Itself,clothing,674.97,2007,Midwest
2016.0,Home-He,office,323.02,2008,Southeast
2017.0,Electronics-Feeling,electronics,463.7,2000,Southeast
2018.0,Electronics-Nature,electronics,542.26,2004,Southeast
2019.0,Home-History,clothing,933.93,2014,Southeast
2020.0,Electronics-Share,clothing,375.83,2015,Southeast
2021.0,Clothing-Skill,office,835.41,2012,Southeast
2022.0,Home-Economy,electronics,671.18,2000,Southeast
2023.0,Home-Yeah,electronics,939.54,2007,Southeast
2024.0,Clothing-Paper,home,124.27,2004,Southeast
2025.0,Electronics-Assume,clothing,279.62,2005,Southeast
2026.0,Clothing-Use,home,211.56,2004,Southeast
2027.0,Home-Purpose,office,258.61,2015,Southeast
2028.0,Electronics-Take,electronics,637.94,2018,Southeast
2030.0,Clothing-First,home,169.97,2022,Northeast
2031.0,Office-Develop,office,565.3,2015,Northeast
2032.0,Electronics-There,electronics,945.6,2000,Northeast
2033.0,Clothing-Argue,electronics,836.25,2009,Northeast
2034.0,Clothing-Feel,office,136.17,2010,Northeast
2035.0,Home-According,home,899.99,2001,Northeast
2036.0,Electronics-Candidate,home,217.98,2014,Northeast
2037.0,Clothing-Meeting,electronics,360.14,2022,Northeast
2038.0,Office-Soon,clothing,926.51,2023,Northeast
2039.0,Clothing-Need,clothing,976.44,2022,Northeast
2041.0,Home-Assume,office,804.21,2005,Northeast
2042.0,Clothing-Lawyer,home,167.61,2004,Northeast
2043.0,Electronics-Practice,office,873.45,2009,Northeast
2044.0,Office-Society,clothing,207.58,2003,Northeast
2045.0,Office-Next,home,312.14,2007,Northeast
2047.0,Clothing-Hair,office,334.98,2000,Northeast
2048.0,Electronics-Candidate,home,357.63,2004,Northeast
2049.0,Office-Easy,home,939.84,2014,Northeast
2050.0,Electronics-Young,home,186.78,2015,Northeast
2051.0,Home-Century,electronics,117.32,2012,Northeast
2052.0,Office-Year,home,731.26,2000,Southwest
2053.0,Home-Ground,office,610.15,2007,Southwest
2054.0,Electronics-Above,office,900.51,2004,Southwest
2056.0,Office-About,electronics,524.72,2004,Southwest
2057.0,Clothing-Identify,home,436.98,2015,Southwest
2058.0,Home-Wear,home,666.75,2018,Southwest
2059.0,Electronics-Clear,home,512.05,2017,Southwest
2060.0,Office-Term,home,408.38,2022,Southwest
2061.0,Home-Quite,clothing,199.92,2015,Southwest
2062.0,Office-Receive,clothing,619.36,2000,Southwest
2063.0,Home-Good,office,552.46,2009,Southwest
2064.0,Electronics-Stop,home,294.04,2010,Southeast
2065.0,Office-Animal,home,470.34,2001,Midwest
2066.0,Office-Occur,clothing,516.06,2014,Northeast
2067.0,Clothing-Remain,electronics,290.95,2022,Southwest
2068.0,Home-Read,electronics,820.24,2023,Southwest
2069.0,Clothing-Garden,home,232.39,2022,Southeast
2071.0,Clothing-Success,office,615.16,2005,Northeast
2072.0,Electronics-Become,office,420.3,2004,Southwest
2073.0,Clothing-Executive,office,499.43,2009,Southwest
2074.0,Clothing-Strong,clothing,659.5,2003,Southeast
2075.0,Electronics-Letter,electronics,780.64,2007,Midwest
2076.0,Clothing-Affect,clothing,806.07,2008,Northeast
2077.0,Office-Ball,electronics,561.83,2000,Southwest
2078.0,Electronics-Film,office,142.01,2004,Southwest
2079.0,Office-Who,home,950.54,2014,Southeast
2080.0,Office-Doctor,office,832.26,2015,Midwest
2081.0,Office-Light,clothing,746.22,2012,Northeast
2082.0,Office-Figure,office,266.6,2000,Southwest
2083.0,Clothing-Cut,home,768.16,2007,Southwest
2084.0,Office-Stuff,clothing,281.85,2004,Southeast
2085.0,Electronics-Officer,home,242.15,2005,Midwest
2086.0,Home-Of,home,894.1,2004,Northeast
2087.0,Electronics-Rather,clothing,159.32,2015,Southwest
2088.0,Office-Evening,clothing,709.35,2018,Southwest
2089.0,Electronics-Action,office,413.52,2017,Southeast
2091.0,Office-Mrs,office,905.79,2015,Northeast
2092.0,Electronics-Add,office,482.21,2000,Southwest
2093.0,Home-Real,home,755.94,2009,Southwest
2094.0,Office-Fight,clothing,493.35,2010,Southeast
2095.0,Home-Seem,office,490.79,2001,Midwest
2096.0,Office-Discuss,home,672.18,2014,Northeast
2097.0,Office-Recent,clothing,842.1,2022,Southwest
2098.0,Clothing-Trouble,electronics,907.86,2023,Southwest
2099.0,Electronics-Several,electronics,646.32,2022,Southeast
2100.0,Unknown Product,office,905.79,2009,Northeast
2102.0,Office-Fight,clothing,755.94,2001,NORTHeast
2103.0,Home-Seem,,505.74,2014,Southwest
2105.0,Office-Recent,clothing,505.74,2023,Southwest
